strike,optiontype,BUY/SELL,price,current_price,Datetime
17350,CE,SELL,267.7,566.8,03/04/2023 09:20:59
17350,PE,SELL,180.95,0.05,03/04/2023 09:20:59
18050,CE,BUY,28.1,0.05,03/04/2023 09:20:59
16650,PE,BUY,41.8,0.05,03/04/2023 09:20:59
17350,CE,SELL,238.0,566.8,03/04/2023 11:14:59
18050,CE,BUY,22.25,0.05,03/04/2023 11:14:59
17350,PE,SELL,151.0,0.05,03/04/2023 15:20:59
16650,PE,BUY,30.15,0.05,03/04/2023 15:20:59
17350,PE,SELL,134.85,0.05,05/04/2023 09:20:59
16650,PE,BUY,27.6,0.05,05/04/2023 09:20:59
17350,PE,SELL,120.0,0.05,05/04/2023 10:31:59
16650,PE,BUY,24.5,0.05,05/04/2023 10:31:59
17350,PE,SELL,107.0,0.05,05/04/2023 12:49:59
16650,PE,BUY,21.7,0.05,05/04/2023 12:49:59
17350,PE,SELL,95.85,0.05,05/04/2023 15:20:59
16650,PE,BUY,18.55,0.05,05/04/2023 15:20:59
17350,PE,SELL,85.35,0.05,06/04/2023 10:41:59
16650,PE,BUY,17.0,0.05,06/04/2023 10:41:59
17350,PE,SELL,76.3,0.05,06/04/2023 12:30:59
16650,PE,BUY,16.3,0.05,06/04/2023 12:30:59
17350,PE,SELL,68.0,0.05,06/04/2023 12:56:59
16650,PE,BUY,15.5,0.05,06/04/2023 12:56:59
17350,PE,SELL,61.0,0.05,10/04/2023 14:45:59
16650,PE,BUY,12.8,0.05,10/04/2023 14:45:59
17350,PE,SELL,54.85,0.05,10/04/2023 12:03:59
16650,PE,BUY,11.55,0.05,10/04/2023 12:03:59
17350,PE,SELL,45.0,0.05,11/04/2023 09:27:59
16650,PE,BUY,10.8,0.05,11/04/2023 09:27:59
17350,PE,SELL,40.4,0.05,11/04/2023 14:01:59
16650,PE,BUY,10.5,0.05,11/04/2023 14:01:59
17350,PE,SELL,36.2,0.05,12/04/2023 09:23:59
16650,PE,BUY,9.6,0.05,12/04/2023 09:23:59
17350,PE,SELL,32.55,0.05,12/04/2023 11:32:59
16650,PE,BUY,9.25,0.05,12/04/2023 11:32:59
17350,PE,SELL,29.2,0.05,13/04/2023 09:35:59
16650,PE,BUY,8.6,0.05,13/04/2023 09:35:59
17350,PE,SELL,26.0,0.05,13/04/2023 14:04:59
16650,PE,BUY,7.25,0.05,13/04/2023 14:04:59
17350,PE,SELL,23.4,0.05,13/04/2023 14:30:59
16650,PE,BUY,6.7,0.05,13/04/2023 14:30:59
17350,PE,SELL,20.7,0.05,13/04/2023 15:07:59
16650,PE,BUY,6.8,0.05,13/04/2023 15:07:59
17350,PE,SELL,16.5,0.05,20/04/2023 09:20:59
16650,PE,BUY,2.95,0.05,20/04/2023 09:20:59
17350,PE,SELL,14.1,0.05,21/04/2023 09:20:59
16650,PE,BUY,1.85,0.05,21/04/2023 09:20:59
17350,PE,SELL,12.6,0.05,21/04/2023 09:28:59
16650,PE,BUY,1.75,0.05,21/04/2023 09:28:59
17350,PE,SELL,11.15,0.05,21/04/2023 14:26:59
16650,PE,BUY,1.3,0.05,21/04/2023 14:26:59
17350,PE,SELL,9.8,0.05,21/04/2023 15:07:59
16650,PE,BUY,1.55,0.05,21/04/2023 15:07:59
17350,PE,SELL,6.7,0.05,24/04/2023 09:51:59
16650,PE,BUY,1.15,0.05,24/04/2023 09:51:59
17350,PE,SELL,5.95,0.05,24/04/2023 11:15:59
16650,PE,BUY,1.1,0.05,24/04/2023 11:15:59
17350,PE,SELL,5.2,0.05,24/04/2023 12:34:59
16650,PE,BUY,1.15,0.05,24/04/2023 12:34:59
17350,PE,SELL,4.5,0.05,24/04/2023 12:55:59
16650,PE,BUY,1.25,0.05,24/04/2023 12:55:59
17350,PE,SELL,3.6,0.05,25/04/2023 09:20:59
16650,PE,BUY,1.25,0.05,25/04/2023 09:20:59
17350,PE,SELL,3.15,0.05,25/04/2023 09:40:59
16650,PE,BUY,1.1,0.05,25/04/2023 09:40:59
17350,PE,SELL,2.7,0.05,25/04/2023 13:23:59
16650,PE,BUY,1.15,0.05,25/04/2023 13:23:59
17350,PE,SELL,2.3,0.05,25/04/2023 15:29:59
16650,PE,BUY,1.25,0.05,25/04/2023 15:29:59
17350,PE,SELL,2.05,0.05,26/04/2023 09:31:59
16650,PE,BUY,1.0,0.05,26/04/2023 09:31:59
17350,PE,SELL,1.8,0.05,26/04/2023 13:03:59
16650,PE,BUY,1.1,0.05,26/04/2023 13:03:59
17350,PE,SELL,1.6,0.05,26/04/2023 14:33:59
16650,PE,BUY,1.0,0.05,26/04/2023 14:33:59
17350,PE,SELL,0.8,0.05,27/04/2023 09:20:59
16650,PE,BUY,0.55,0.05,27/04/2023 09:20:59
17350,PE,SELL,0.7,0.05,27/04/2023 12:45:59
16650,PE,BUY,0.45,0.05,27/04/2023 12:45:59
17350,PE,SELL,0.55,0.05,27/04/2023 12:52:59
16650,PE,BUY,0.45,0.05,27/04/2023 12:52:59
17350,PE,SELL,0.45,0.05,27/04/2023 13:22:59
16650,PE,BUY,0.3,0.05,27/04/2023 13:22:59
17350,PE,SELL,0.4,0.05,27/04/2023 14:09:59
16650,PE,BUY,0.3,0.05,27/04/2023 14:09:59
17350,PE,SELL,0.35,0.05,27/04/2023 14:25:59
16650,PE,BUY,0.2,0.05,27/04/2023 14:25:59
17350,PE,SELL,0.3,0.05,27/04/2023 14:29:59
16650,PE,BUY,0.2,0.05,27/04/2023 14:29:59
17350,PE,SELL,0.25,0.05,27/04/2023 14:34:59
16650,PE,BUY,0.2,0.05,27/04/2023 14:34:59
17350,PE,SELL,0.2,0.05,27/04/2023 14:42:59
16650,PE,BUY,0.2,0.05,27/04/2023 14:42:59
17350,PE,SELL,0.15,0.05,27/04/2023 14:50:59
16650,PE,BUY,0.2,0.05,27/04/2023 14:50:59
17350,PE,SELL,0.1,0.05,27/04/2023 15:05:59
16650,PE,BUY,0.15,0.05,27/04/2023 15:05:59
17350,PE,SELL,0.05,0.05,27/04/2023 15:14:59
16650,PE,BUY,0.15,0.05,27/04/2023 15:14:59
